DIV,LOC,AREA,PERSONNUM
71,1,122,10823010
71,1,122,71454264
71,1,122,71458681
71,1,122,10696129
71,1,122,10567102
71,1,122,71916812
71,1,122,10548669
71,1,122,10649560
71,1,122,10548681
71,1,122,10597037
71,1,122,10768094
71,1,122,71501568
71,1,122,71066005
71,1,122,10469903
71,1,122,71810821
71,1,122,10596806
71,1,154,71439945
71,1,154,10766424
71,1,154,71456150
71,1,154,10672893
71,1,154,71453623
71,1,154,71353336
71,1,154,10534252
71,1,154,10478094
71,1,169,71127398
71,1,169,10163578
71,1,169,71481705
71,1,169,71489489
71,1,169,71761827
71,1,169,71457631
71,1,169,71624817
71,1,201,10833143
71,1,201,10816121
71,1,201,10816713
71,1,201,71116451
71,1,201,71192142
71,1,201,10493616
71,1,201,71293113
71,1,201,71151918
71,1,201,10110936
71,1,201,10168802
71,1,301,10792741
71,1,301,10831507
71,1,301,10682274
71,1,301,71525671
71,1,301,71192016
71,1,301,71436806
71,1,301,10653905
71,1,301,71144086
71,1,301,71124601
71,1,301,10682737
71,1,301,71166569
71,1,302,71121763
71,1,302,71521896
71,1,302,71338613
71,1,302,71456780
71,1,302,71274837
71,1,302,10547831
71,1,302,10548416
71,1,302,10623966
71,1,302,10655986
71,1,302,10686937
71,1,302,71313452
71,1,302,71440562
71,1,302,10129203
71,1,302,71161186
71,1,302,71452317
71,1,382,10810251
71,1,382,10596699
71,1,382,10297382
71,1,382,10540309
71,1,382,71592550
71,1,382,10342541
71,1,382,10682707
71,1,382,71025916
71,1,382,71760529
71,1,382,10529387
71,1,382,10718326
71,1,402,71122717
71,1,402,10766753
71,1,402,10456172
71,1,402,10239437
71,1,402,10621109
71,1,402,10642502
71,1,402,10394818
71,1,402,10216554
71,1,402,10805123
71,1,402,71505724
71,1,402,71312596
71,1,402,10811255
71,1,402,10806753
71,1,402,10752335
71,1,402,71443382
71,1,403,71301634
71,1,403,71324728
71,1,403,71336578
71,1,403,71199442
71,1,403,10548689
71,1,403,10700661
71,1,403,10691673
71,1,403,10636338
71,1,403,10293535
71,1,403,10507385
71,1,403,71347006
71,1,403,10805101
71,1,403,10806398
71,1,403,10807468
71,1,403,10812611
71,1,403,10826798
71,1,404,71272683
71,1,404,71337574
71,1,404,10627569
71,1,404,10814254
71,1,404,71341428
71,1,404,10705831
